Bayern 2 Nord,"https://br-br2-nord.cast.addradio.de/br/br2/nord/aac/low,			 https://br-br2-nord.cast.addradio.de/br/br2/nord/mp3/low,			 https://br-br2-nord.cast.addradio.de/br/br2/nord/mp3/mid,			 https://streams.br.de/bayern2nord_1.m3u,			 https://streams.br.de/bayern2nord_2.m3u,",https://www.br.de/radio/bayern2/index.html
Bayern 2 Süd,"https://br-br2-sued.cast.addradio.de/br/br2/sued/aac/low,			 https://br-br2-sued.cast.addradio.de/br/br2/sued/mp3/low,			 https://br-br2-sued.cast.addradio.de/br/br2/sued/mp3/mid,			 https://streams.br.de/bayern2sued_1.m3u,			 https://streams.br.de/bayern2sued_2.m3u",
Bayern 3,"https://br-br3-live.cast.addradio.de/br/br3/live/aac/low,			 https://br-br3-live.cast.addradio.de/br/br3/live/mp3/low,			 https://br-br3-live.cast.addradio.de/br/br3/live/mp3/mid,			 https://streams.br.de/bayern3_1.m3u,			 https://streams.br.de/bayern3_2.m3u",https://www.bayern3.de/
BR-Klassik,"https://br-brklassik-live.cast.addradio.de/br/brklassik/live/aac/low,			 https://br-brklassik-live.cast.addradio.de/br/brklassik/live/mp3/low,			 https://br-brklassik-live.cast.addradio.de/br/brklassik/live/mp3/mid,			 https://br-brklassik-live.cast.addradio.de/br/brklassik/live/mp3/high,			 https://streams.br.de/br-klassik_1.m3u,			 https://streams.br.de/br-klassik_2.m3u,			 https://streams.br.de/br-klassik_3.m3u,",https://www.br-klassik.de/index.html
B5 aktuell,"https://br-b5aktuell-live.cast.addradio.de/br/b5aktuell/live/aac/low,			 https://br-b5aktuell-live.cast.addradio.de/br/b5aktuell/live/mp3/low,			 https://br-b5aktuell-live.cast.addradio.de/br/b5aktuell/live/mp3/mid,			 https://streams.br.de/b5aktuell_1.m3u,			 https://streams.br.de/b5aktuell_2.m3u",https://www.br.de/radio/b5-aktuell/service/programm/index.html
B5 plus,"https://br-b5plus-live.cast.addradio.de/br/b5plus/live/aac/low,			 https://br-b5plus-live.cast.addradio.de/br/b5plus/live/mp3/low,			 https://br-b5plus-live.cast.addradio.de/br/b5plus/live/mp3/mid,			 https://streams.br.de/b5plus_1.m3u,			 https://streams.br.de/b5plus_2.m3u,",https://www.br.de/radio/b5plus/index128.html
BR Schlager,"https://br-brschlager-live.cast.addradio.de/br/brschlager/live/aac/low,			 https://br-bayernplus-live.cast.addradio.de/br/brschlager/live/mp3/low,			 https://br-bayernplus-live.cast.addradio.de/br/brschlager/live/mp3/mid,			 https://streams.br.de/bayernplus_1.m3u,			 https://streams.br.de/bayernplus_2.m3u,",https://www.br.de/radio/br-schlager/index.html
BR Heimat,"https://br-brheimat-live.cast.addradio.de/br/brheimat/live/aac/low,			 https://br-brheimat-live.cast.addradio.de/br/brheimat/live/mp3/low,			 https://br-brheimat-live.cast.addradio.de/br/brheimat/live/mp3/mid,			 https://streams.br.de/brheimat_1.m3u,			 https://streams.br.de/brheimat_2.m3u ,",https://www.br.de/radio/br-heimat/index.html
Puls,"https://br-puls-live.cast.addradio.de/br/puls/live/aac/low,			 https://br-puls-live.cast.addradio.de/br/puls/live/mp3/low,			 https://br-puls-live.cast.addradio.de/br/puls/live/mp3/mid,			 https://streams.br.de/puls_1.m3u,			 https://streams.br.de/puls_2.m3u",https://www.br.de/puls/index.html
HR,Hessischer Rundfunk,http://www.hr-online.de/
